model,accuracy,precision,recall,f1,auc_roc,prediction_time_sec,fit_time_sec
XGBoost,0.8218130553656869,0.5805103070491567,0.761535552193646,0.6588139059304704,0.8885504801992432,0.11501716601196676,32.19741500006057
Random Forest,0.8290755297334245,0.6090862858111544,0.6794629349470499,0.642352730848306,0.8630880541306402,0.21998633397743106,565.3089252080536
Decision Tree,0.7676862611073137,0.4909354604786077,0.7681543116490166,0.5990266922282849,0.8514389174706861,0.027651541982777417,38.701887958101
MLP (Neural Net),0.84061004784689,0.7473784556720686,0.44478063540090773,0.5576763485477179,0.8397719084903801,0.06850225001107901,7.993916583945975
Logistic Regression,0.7097146274777854,0.40852252033507347,0.6363464447806354,0.4975970425138632,0.7652263924650924,0.01980224996805191,0.22139762493316084
